,potential_et,precipitation,reference_et,season,uncor_potential_et,month,year,uncor_precipitation
1950-09-27,1.8851668680397942,3.3665666580200195,16279.898,1,30.51667,9,1950,6.4166665
1950-09-28,1.4966170899020232,0.29125937819480896,10831.268,1,21.199999,9,1950,0.6333334
1950-09-29,1.7781243898658476,1.9219697713851929,16024.7,1,27.949999,9,1950,3.6999998
1950-09-30,2.497532013763408,0.0,0.0,1,45.2,9,1950,0.0
1950-10-01,2.649754225123964,0.46851056814193726,18501.033,1,48.849995,10,1950,0.96666676
1950-10-02,1.7398950299661955,3.8805952072143555,5439.1,1,27.033333,10,1950,7.3833337
1950-10-03,1.0079760818784784,14.52452564239502,0.0,1,9.483334,10,1950,27.4
1950-10-04,0.857143790061462,1.656092882156372,7274.9336,1,5.8666673,10,1950,3.1999996
1950-10-05,1.0705332994209997,0.0,35233.6,1,10.983335,10,1950,0.0
1950-10-06,1.444486108427241,0.0,30163.568,1,19.949999,10,1950,0.0
1950-10-07,2.088825150819341,0.3089844882488251,19435.35,1,35.4,10,1950,0.6666667
1950-10-08,1.4437910392803193,2.116945743560791,1377.3834,1,19.933332,10,1950,4.066666
1950-10-09,2.7081411471033023,0.769837498664856,198.24983,1,50.25,10,1950,1.5333334
1950-10-10,3.0980809839893517,0.0,9180.551,1,59.600002,10,1950,0.0
1950-10-11,2.690764100247998,0.0,11669.718,1,49.833332,10,1950,0.0
1950-10-12,3.293398277914707,0.0,6747.916,1,64.28333,10,1950,0.0
1950-10-13,2.3376635645133224,0.016520101577043533,1886.9999,1,41.366665,10,1950,0.116666675
1950-10-14,1.9630155670418117,1.5054298639297485,0.0,1,32.38333,10,1950,2.916667
1950-10-15,1.53276124236091,2.6752872467041016,2176.1833,1,22.066666,10,1950,5.116667
1950-10-16,2.4287187363979834,0.8761882185935974,0.0,1,43.54999,10,1950,1.7333335
1950-10-17,2.873569990437632,0.0,3259.7336,1,54.216663,10,1950,0.0
1950-10-18,3.151602103757978,0.0,0.0,1,60.883335,10,1950,0.0
1950-10-19,3.4706439331112264,0.0,0.0,1,68.53334,10,1950,0.0
1950-10-20,3.411561305620447,0.0,0.0,1,67.11665,10,1950,0.0
1950-10-21,3.402525883983854,0.03424522280693054,0.0,1,66.9,10,1950,0.15000002
1950-10-22,2.186136422299688,0.7077996730804443,0.0,1,37.733337,10,1950,1.4166669
1950-10-23,2.3522601756898096,0.9116383790969849,10566.767,1,41.716663,10,1950,1.8000001
1950-10-24,2.5670400420934945,0.0,8273.749,1,46.86667,10,1950,0.016666668
1950-10-25,3.359430960510185,0.0,0.0,1,65.86667,10,1950,0.0
1950-10-26,3.1759300011736293,0.0,0.0,1,61.46667,10,1950,0.0
1950-10-27,2.8339505717897016,0.19377124309539795,0.0,1,53.266666,10,1950,0.45000002
1950-10-28,2.3814537162250433,1.2041027545928955,0.0,1,42.416668,10,1950,2.3500001
1950-10-29,2.237572334627548,9.455143928527832,0.0,1,38.96667,10,1950,17.866669
1950-10-30,3.2197196756119606,0.0,0.0,1,62.516663,10,1950,0.05
1950-10-31,3.3462241694452812,0.41533514857292175,0.0,1,65.549995,10,1950,0.8666666
1950-11-01,2.3953554173457388,1.842206597328186,0.0,1,42.750004,11,1950,3.5499995
1950-11-02,3.3295425099191585,0.7432497143745422,0.0,1,65.15,11,1950,1.4833332
1950-11-03,3.347614625921385,0.03424520790576935,0.0,1,65.583336,11,1950,0.14999999
1950-11-04,3.884216280083746,0.0,0.0,1,78.450005,11,1950,0.0
1950-11-05,2.7352490029243812,0.14945845305919647,0.0,1,50.899994,11,1950,0.36666667
1950-11-06,2.5635646963588856,0.09628312289714813,1040.5669,1,46.783337,11,1950,0.26666668
1950-11-07,3.8265247454335896,0.0,0.0,1,77.06667,11,1950,0.0
1950-11-08,3.109897159487022,0.00765753909945488,0.0,1,59.88333,11,1950,0.1
1950-11-09,3.531810972587122,0.07855800539255142,0.0,1,70.00001,11,1950,0.23333335
1950-11-10,3.3955751925146362,0.0,0.0,1,66.73334,11,1950,0.0
1950-11-11,4.313080148288544,0.0,0.0,1,88.73333,11,1950,0.033333335
1950-11-12,2.8193539606132143,0.043107770383358,6697.217,1,52.916668,11,1950,0.16666667
