,potential_et,precipitation,reference_et,uncor_potential_et
1950-10-19,3.2240744,0.0,0.0,68.53334
1950-10-20,3.1569886,0.0,0.0,67.11665
1950-10-21,3.146729,0.15000002,0.0,66.9
1950-10-22,1.7655721,1.4166669,0.0,37.733337
1950-10-23,1.9541984,1.8000001,10566.767,41.716663
1950-10-24,2.1980715,0.016666668,8273.749,46.86667
1950-10-25,3.097797,0.0,0.0,65.86667
1950-10-26,2.8894396,0.0,0.0,61.46667
1950-10-27,2.5011368,0.45000002,0.0,53.266666
1950-10-28,1.9873463,2.3500001,0.0,42.416668
1950-10-29,1.8239752,17.866669,0.0,38.96667
1950-10-30,2.9391608,0.05,0.0,62.516663
1950-10-31,3.0828009,0.8666666,0.0,65.549995
1950-11-01,2.003131,3.5499995,0.0,42.750004
1950-11-02,3.06386,1.4833332,0.0,65.15
1950-11-03,3.0843797,0.14999999,0.0,65.583336
1950-11-04,3.6936674,0.0,0.0,78.450005
1950-11-05,2.3890653,0.36666667,0.0,50.899994
1950-11-06,2.1941252,0.26666668,1040.5669,46.783337
1950-11-07,3.6281614,0.0,0.0,77.06667
1950-11-08,2.8144622,0.1,0.0,59.88333
1950-11-09,3.2935266,0.23333335,0.0,70.00001
1950-11-10,3.1388369,0.0,0.0,66.73334
1950-11-11,4.1806235,0.033333335,0.0,88.73333
1950-11-12,2.4845629,0.16666667,6697.217,52.916668
1950-11-13,3.6770935,0.13333334,0.0,78.1
1950-11-14,3.9209666,0.0,0.0,83.25001
1950-11-15,3.9320164,0.1,0.0,83.483345
1950-11-16,3.034658,0.45000005,0.0,64.53333
1950-11-17,4.033827,0.0,0.0,85.63334
1950-11-18,4.1837807,0.0,0.0,88.799995
1950-11-19,4.2366595,0.0,0.0,89.916664
1950-11-20,4.494738,0.0,0.0,95.36666
1950-11-21,4.808064,0.0,16221.102,101.98334
1950-11-22,3.6739364,0.06666667,0.0,78.03333
1950-11-23,4.2950625,0.38333333,0.0,91.149994
1950-11-24,4.237449,2.8666668,0.0,89.93334
1950-11-25,3.1530428,25.1,0.0,67.03333
1950-11-26,4.02041,0.016666668,0.0,85.350006
1950-11-27,3.6502595,0.05,0.0,77.53333
1950-11-28,4.448963,2.4833333,0.0,94.4
1950-11-29,4.4623795,10.250001,0.0,94.68333
1950-11-30,3.6352644,0.0,0.0,77.21667
1950-12-01,4.3392596,1.0166668,0.0,92.083336
1950-12-02,4.2934837,0.14999999,0.0,91.11666
1950-12-03,4.208247,0.0,0.0,89.31667
1950-12-04,4.088283,0.0,0.0,86.783325
1950-12-05,4.7859654,0.7833333,0.0,101.51666
1950-12-06,4.387403,12.916667,0.0,93.100006
1950-12-07,5.0456233,0.0,0.0,107.00001
1950-12-08,2.3409224,31.1,0.0,49.88333
1950-12-09,3.360611,6.116665,0.0,71.416664
1950-12-10,3.8822942,2.65,0.0,82.433334
1950-12-11,3.4568982,2.1666667,0.0,73.45001
1950-12-12,4.2863812,0.5833334,0.0,90.966675
1950-12-13,3.6052732,0.9333334,0.0,76.583336
1950-12-14,4.0890727,0.0,0.0,86.799995
1950-12-15,3.5602875,6.766667,0.0,75.63334
1950-12-16,3.3037863,2.55,0.0,70.21667
1950-12-17,3.4884672,0.0,0.0,74.11668
1950-12-18,4.4426494,0.0,0.0,94.26667
1950-12-19,4.3353133,0.0,0.0,91.99999
1950-12-20,5.4670734,0.0,0.0,115.9
1950-12-21,5.278447,0.0,0.0,111.91668
1950-12-22,5.217676,0.05,0.0,110.63334
1950-12-23,1.677967,27.083334,0.0,35.88333
1950-12-24,1.2833507,2.9999998,0.0,27.550001
1950-12-25,4.228767,0.53333336,0.0,89.75
1950-12-26,5.212151,0.0,0.0,110.51667
1950-12-27,5.4489207,0.1,0.0,115.51666
1950-12-28,1.6566576,6.1333327,0.0,35.43333
1950-12-29,3.3677144,0.05,0.0,71.566666
1950-12-30,3.336934,0.0,0.0,70.916664
1950-12-31,4.1119604,11.016666,0.0,87.28333
1951-01-01,1.3346506,9.1,0.0,28.633331
1951-01-02,2.4253707,1.3000001,0.0,51.666668
1951-01-03,4.752028,0.0,0.0,100.799995
1951-01-04,4.815167,0.78333336,0.0,102.13333
1951-01-05,4.1940417,0.0,0.0,89.016685
1951-01-06,3.3542972,0.05,0.0,71.28333
1951-01-07,4.105647,1.5833334,0.0,87.15
1951-01-08,3.715766,0.116666675,0.0,78.916664
1951-01-09,2.3898544,1.1,0.0,50.91666
1951-01-10,4.4536986,0.033333335,0.0,94.5
1951-01-11,5.1198106,0.0,433.4166,108.56666
1951-01-12,5.591772,0.0,0.0,118.53333
1951-01-13,5.5957184,0.0,0.0,118.61667
1951-01-14,4.029881,0.016666668,0.0,85.55001
1951-01-15,3.0938506,7.4499993,0.0,65.78333
1951-01-16,3.29037,6.566667,0.0,69.93334
1951-01-17,4.253233,0.083333336,0.0,90.26666
1951-01-18,2.467989,0.1,0.0,52.56667
1951-01-19,4.3282104,0.0,0.0,91.85
1951-01-20,4.4252863,0.0,0.0,93.9
1951-01-21,4.0480323,0.016666668,0.0,85.93333
1951-01-22,2.5713782,0.016666668,0.0,54.75
1951-01-23,3.5373993,0.7666667,0.0,75.15
1951-01-24,2.8681297,0.11666667,0.0,61.016663
1951-01-25,2.1696587,8.616666,0.0,46.266663
1951-01-26,1.4151523,2.0166667,0.0,30.33333
1951-01-27,3.4403238,0.0,0.0,73.1
1951-01-28,3.4663687,0.06666667,0.0,73.65
1951-01-29,3.5255604,0.05,0.0,74.899994
1951-01-30,2.0354896,3.6833334,0.0,43.433334
1951-01-31,2.7221222,11.600001,0.0,57.933334
1951-02-01,4.1837807,0.0,0.0,88.799995
1951-02-02,4.672316,0.0,0.0,99.11667
1951-02-03,4.3345246,0.016666668,0.0,91.98334
1951-02-04,2.6258354,0.4,0.0,55.899998
1951-02-05,3.5405564,2.2333336,0.0,75.21667
1951-02-06,1.8815889,20.733335,0.0,40.18333
1951-02-07,2.4474688,15.866668,0.0,52.13333
1951-02-08,1.8373919,6.4666667,0.0,39.249996
1951-02-09,1.3504354,2.9333332,0.0,28.966665
1951-02-10,1.8642259,1.9833332,0.0,39.816666
1951-02-11,2.4016938,3.3499997,0.0,51.16667
1951-02-12,3.0196629,3.3499997,0.0,64.21667
1951-02-13,3.3874454,1.3833333,0.0,71.983345
1951-02-14,1.728478,20.066668,0.0,36.95
1951-02-15,3.0709624,0.0,0.0,65.299995
1951-02-16,2.688974,0.0,0.0,57.233326
1951-02-17,3.1822448,0.0,0.0,67.65
1951-02-18,3.7907429,0.0,0.0,80.5
1951-02-19,2.8594484,0.28333333,0.0,60.833332
1951-02-20,2.203596,0.0,0.0,46.983334
1951-02-21,4.2335033,0.0,6841.701,89.85001
1951-02-22,4.9303946,0.0,0.0,104.56666
1951-02-23,3.3156252,0.21666668,0.0,70.46667
1951-02-24,2.3827515,0.0,0.0,50.766663
1951-02-25,2.0165477,0.016666668,0.0,43.03333
1951-02-26,3.872034,0.0,0.0,82.21667
1951-02-27,4.116696,0.0,2921.417,87.38333
1951-02-28,3.3558755,0.0,0.0,71.31666
1951-03-01,2.5413876,2.0666666,0.0,54.11667
1951-03-02,2.2888331,5.7000003,0.0,48.783337
1951-03-03,1.3133415,0.70000005,23.517416,28.183334
1951-03-04,3.2209172,0.0,0.0,68.46667
1951-03-05,2.193336,0.0,96.31657,46.766666
1951-03-06,3.2477508,0.0,0.0,69.03333
1951-03-07,3.5153003,0.28333333,0.0,74.68333
1951-03-08,3.8965006,0.083333336,0.0,82.73334
1951-03-09,3.5153008,0.0,0.0,74.683334
1951-03-10,2.0481172,3.9166667,0.0,43.7
1951-03-11,1.0402669,3.8166664,0.0,22.416664
1951-03-12,1.6953299,0.0,18732.018,36.249996
1951-03-13,3.4300637,0.016666668,0.0,72.88333
1951-03-14,1.6242994,0.033333335,8518.183,34.750004
1951-03-15,2.915484,0.0,0.0,62.016666
1951-03-16,3.1475182,0.0,0.0,66.916664
1951-03-17,2.8468208,0.65000004,0.0,60.56667
1951-03-18,2.6203113,0.18333334,0.0,55.783337
1951-03-19,3.1262093,10.133332,3293.8167,66.466675
1951-03-20,1.1128763,1.9500002,8043.601,23.949999
1951-03-21,1.779778,0.016666668,12259.702,38.033333
1951-03-22,2.4395766,9.25,5549.517,51.966663
1951-03-23,1.6621825,21.133337,0.0,35.550003
1951-03-24,0.83585566,3.6333334,10839.149,18.1
1951-03-25,1.8942168,0.0,9753.316,40.45
1951-03-26,2.2185912,0.016666668,0.0,47.3
1951-03-27,2.2943578,0.0,0.0,48.899998
1951-03-28,1.9423602,2.8333333,3963.6338,41.46667
1951-03-29,1.2936108,0.18333334,23235.467,27.76667
1951-03-30,2.0236511,0.5,912.2493,43.183334
1951-03-31,1.37648,0.36666667,2468.6165,29.516665
1951-04-01,1.1831181,0.3166667,6477.2837,25.433334
1951-04-02,1.5201204,0.1,17942.402,32.55
1951-04-03,2.1886,0.29999998,683.4333,46.66666
1951-04-04,0.77192783,1.9333334,11713.017,16.75
1951-04-05,1.6732317,0.28333333,5357.75,35.783337
1951-04-06,1.182329,0.11666667,17898.635,25.416672
1951-04-07,1.4972324,10.783334,16969.115,32.06666
1951-04-08,0.59119356,11.783334,0.0,12.933334
1951-04-09,1.8965845,0.016666668,14387.75,40.5
1951-04-10,2.0433817,0.0,19695.5,43.599995
1951-04-11,1.8807999,0.0,10951.234,40.166668
1951-04-12,1.7766213,0.0,8071.949,37.96667
1951-04-13,1.1902213,0.0,28354.148,25.583336
1951-04-14,1.2667769,3.033333,14398.968,27.200005
1951-04-15,1.2651982,2.3500001,21197.518,27.166666
1951-04-16,1.081307,5.349999,7094.283,23.283333
1951-04-17,0.9889668,1.7666668,9967.717,21.333334
1951-04-18,1.2138982,0.11666667,16456.418,26.083334
1951-04-19,1.4372509,0.4666667,28692.602,30.799995
1951-04-20,1.2194229,4.0333333,18289.566,26.200003
