Well Number,Description,Depth,Geology,Lithology
J42/0034,Grey muddy SILTSTONE,130.6,,SS
G41/0412,Yellow CLAY,23.3,,CL
J41/0552,Grey Sandy MUDSTONE,32.1,,MS
G43/0104,"Cobbly GRAVELS, SAND and CLAY",13.3,,CGRCLSA
G41/0376,CLAY,25.6,,CL
G41/0365,"Sandy GRAVEL, odd Cobble",30.2,,CGRSA
J41/0552,Quartz GRAVELS and grey SAND waterbearing,265,,GRSA
G40/0195,Sandy GRAVELS,21.5,,GRSA
J41/0598,Cream LIMESTONE,49.6,,LIME
F40/0357-1,Very Silty GRAVELS,4.5,,GRSI
G40/0229,Brown SILT,24,,SI
H42/0184,Green Silts and Schist Rock,144,,SCHIST
G42/0863,SANDS,7.1,,SA
C-2033,CLAYSTONE,310,,CS
ECL 2013-5,MEDIUM Sandy fine GRAVEL BROWNISH GREY,10,,FGRSA
I44/0785,Blue Sandy GRAVEL with blue CLAY lenses,43.3,,GRCLSA
I44/1043,Yellow CLAY,32.6,,CL
I44/0771,Fine Sandy GRAVEL,32.9,,FGRSA
F40/0267,Very Silty Mainly small Sandy GRAVELS,66.5,,FGRSISA
F41/0469,SCHIST rock,70,,SCHIST
G40/0335,LIGHT Claybound Sandy GRAVELS BOULDERS,37.5,,CGRCLSA
F40/0019,GRAVELS VERY LITTLE SAND,28.5,,GRSA
