#,m3/s,m3/s,l/s,l/s,
date,Graview Ck at LHS m3/s,Lagoon Ck at MGH m3/s,Grandview Ck at LHS l/s,Lagoon Ck at MGH l/s,Luggate (Nat) l/s
11/06/2018 0:00,0.123535676,0.057201624,123.535676,57.201624,1753
12/06/2018 0:00,0.117273801,0.056616104,117.273801,56.616104,1727
13/06/2018 0:00,0.111783368,0.055587025,111.783368,55.587025,1740
14/06/2018 0:00,0.108994599,0.053768369,108.994599,53.768369,1756
15/06/2018 0:00,0.108735835,0.052255725,108.735835,52.255725,1811
16/06/2018 0:00,0.111758682,0.05026826,111.758682,50.26826,1680
17/06/2018 0:00,0.10694673,0.048034766,106.94673,48.034766,1760
18/06/2018 0:00,0.101154657,0.045723352,101.154657,45.723352,1911
19/06/2018 0:00,0.099002008,0.04262054,99.002008,42.62054,1822
20/06/2018 0:00,0.101316392,0.0396543,101.316392,39.6543,1781
21/06/2018 0:00,0.099469958,0.038786812,99.469958,38.786812,1740
22/06/2018 0:00,0.097022904,0.038502171,97.022904,38.502171,1688
23/06/2018 0:00,0.090496385,0.037226762,90.496385,37.226762,1639
24/06/2018 0:00,0.103630854,0.04442812,103.630854,44.42812,1597
25/06/2018 0:00,0.095735874,0.044149366,95.735874,44.149366,1726
26/06/2018 0:00,0.089303661,0.03847994,89.303661,38.47994,1666
27/06/2018 0:00,0.087165967,0.033787677,87.165967,33.787677,1596
28/06/2018 0:00,0.090642585,0.032041655,90.642585,32.041655,1561
29/06/2018 0:00,0.085182711,0.02921027,85.182711,29.21027,1546
30/06/2018 0:00,0.084364883,0.027998102,84.364883,27.998102,1536
1/07/2018 0:00,0.088422182,0.028997938,88.422182,28.997938,1558
2/07/2018 0:00,0.088214992,0.03001903,88.214992,30.01903,1573
3/07/2018 0:00,0.083328935,0.027672517,83.328935,27.672517,1666
4/07/2018 0:00,0.081688562,0.027061357,81.688562,27.061357,1731
5/07/2018 0:00,0.081568325,0.02677373,81.568325,26.77373,1611
6/07/2018 0:00,0.08195707,0.026329575,81.95707,26.329575,1552
7/07/2018 0:00,0.384037178,0.079110308,384.037178,79.110308,1531
8/07/2018 0:00,0.319173243,0.074569252,319.173243,74.569252,1528
9/07/2018 0:00,0.377757229,0.0922998,377.757229,92.2998,1516
10/07/2018 0:00,0.38727544,0.107123506,387.27544,107.123506,1507
11/07/2018 0:00,0.331448806,0.105508575,331.448806,105.508575,1489
12/07/2018 0:00,0.273940954,0.099103036,273.940954,99.103036,1469
13/07/2018 0:00,0.2470318,0.092412111,247.0318,92.412111,1451
14/07/2018 0:00,0.228251179,0.088116888,228.251179,88.116888,1493
15/07/2018 0:00,0.209865901,0.080624967,209.865901,80.624967,1487
16/07/2018 0:00,0.20033882,0.078835752,200.33882,78.835752,1458
17/07/2018 0:00,0.182722137,0.075246905,182.722137,75.246905,1483
18/07/2018 0:00,0.166400932,0.070699928,166.400932,70.699928,1480
19/07/2018 0:00,0.156298873,0.067266519,156.298873,67.266519,1462
