ConsentID,WellNumber,MaxFlowRate,StreamDepletionFlow,MaxHourlyVolume,MaxdailyVolume,MaxWeeklyVolume,MaxMonthlyVolume,MaxYearlyVolume,Aquifer,B1_APPL_STATUS,#Wells,WM_Accela,#WaterMeters,FMU,Rohe,Type,WellsDtbAquifer,B1_X_COORD,B1_Y_COORD,EastingTM,NorthingTM,ConsentCommencementDate,ConsentExpiryDate,ConsentIssued,Consumptive,USE1,USE2
RM15.330.02,,,,,,,,,,Current,,,,,,Surface Take,,1301688,4955684,,,01/18/2016,01/22/2026,01/18/2016,No,,
RM16.092.02,,,,,,,,,,Current,,WM1429R,1,,,Surface Take,,1359592.333,4980846.667,,,04/14/2016,01/01/2034,04/14/2016,No,,
RM16.103.01,,,20,,,,,,,Current,,,,,,Surface Take,,1427291,5005742,,,06/21/2016,07/01/2026,06/21/2016,No,,
RM16.138.11.V1,,,,,,,,,,Current,,WM0898,2,,,Surface Take,,1394612,4978132,,,04/24/2017,04/24/2027,04/24/2017,No,,
RM16.138.11.V1,,,,,,,,,,Current,,WM1516,2,,,Surface Take,,1394612,4978132,,,04/24/2017,04/24/2027,04/24/2017,No,,
RM16.138.12.V1,,,,,,,,,,Current,,,,,,Surface Take,,1394500,4978000,,,04/24/2017,04/24/2052,04/24/2017,Yes,,
RM16.138.13.V1,,,200,,,,,,,Current,,WM0898,2,,,Groundwater Take,,1394612,4978132,,,04/24/2017,04/24/2027,04/24/2017,No,Mining/Quarry,Mining/Quarry
RM16.138.13.V1,,,200,,,,,,,Current,,WM1516,2,,,Groundwater Take,,1394612,4978132,,,04/24/2017,04/24/2027,04/24/2017,No,Mining/Quarry,Mining/Quarry
RM16.138.14.V1,,,,,,,,,,Current,,,,,,Groundwater Take,,1394500,4978000,,,04/24/2017,04/24/2027,04/24/2017,Yes,Mining/Quarry,Mining/Quarry
RM16.235.04,,,55,,,,,,,Current,,WM0299R,1,,,Surface Take,,1319987.5,4999206.5,,,10/02/2021,12/21/2042,12/20/2017,Yes,,
RM16.249.02,,,,,,,,,,Current,,,,,,Surface Take,,1276118,5049868,,,10/28/2016,10/01/2041,10/28/2016,No,,
RM16.329.01,,,,,,,,,,Current,,,,,,Surface Take,,1426201,4986984,,,01/13/2017,01/10/2027,01/13/2017,No,,
RM17.089.01,,,,,,,,,,Current,,WM0129,1,,,Surface Take,,1339282,4911247,,,05/18/2022,05/18/2028,05/18/2022,Yes,,
RM17.102.01,,78,78,,,,,,,Current,,WM0439,1,,,Surface Take,,1292634,5022764,,,10/02/2021,10/01/2052,10/27/2017,Yes,,
RM17.121.02,,,0.5,,,,,,,Current,,WM1483,1,,,Surface Take,,1406004,4964337,,,11/01/2017,09/01/2052,09/25/2017,Yes,,
RM17.210.02,,,,,,,,,,Current,,,,,,Surface Take,,1355627,4970594,,,08/17/2017,09/29/2026,08/15/2017,No,,
RM17.301.04,,,,,,,,,,Current,,WM0728,1,,,Surface Take,,1325241.5,5045805.5,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.05A,,,,,,,,,,Current,,WM0483,1,,,Surface Take,,1328950,5038822.667,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.06A,,,,,,,,,,Current,,WM0483,1,,,Surface Take,,1330249.5,5038554.5,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.06B,,,,,,,,,,Current,,WM0568,1,,,Surface Take,,1337103,5037612,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.07A,,,,,,,,,,Current,,,,,,Surface Take,,1323951,5030895,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.07B,,,,,,,,,,Current,,WM0115,1,,,Surface Take,,1312808,5024716,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.08,,,,,,,,,,Current,,,,,,Surface Take,,1316547,5029689,,,,11/21/2052,,Yes,,
RM17.301.09A,,,,,,,,,,Current,,WM0537,1,,,Surface Take,,1321379.25,5027104.75,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.09B,,,,,,,,,,Current,,WM0538,1,,,Surface Take,,1322655,5024990,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.10,,,,,,,,,,Current,,EMC,,,,Surface Take,,1315947,5029788,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.11,,,,,,,,,,Current,,WM0066,1,,,Surface Take,,1320350,5029091,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.12,,,,,,,,,,Current,,,,,,Surface Take,,1317900,5025815,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.13,,,,,,,,,,Current,,,,,,Surface Take,,1316457,5023599,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.14,,,,,,,,,,Current,,WM0201,1,,,Surface Take,,1314051,5023082,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.15,,,,,,,,,,Current,,WM0023,1,,,Surface Take,,1315705,5019131,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.16,,,,,,,,,,Current,,,,,,Surface Take,,1312671,5023499,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.17,,,,,,,,,,Current,,WM0889 (TBC if correct meter),1,,,Surface Take,,1317752,5024986,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.18,,,,,,,,,,Current,,,,,,Surface Take,,1312808,5024716,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.19,,,,,,,,,,Current,,WM0115 ?? TBC,1,,,Surface Take,,1315781,5028626,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.20,,,,,,,,,,Current,,,,,,Surface Take,,1323545,5039400,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.21,,,,,,,,,,Current,,,,,,Surface Take,,1327548,5038202,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.22,,,,,,,,,,Current,,,,,,Surface Take,,1327548,5038202,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.23,,,,,,,,,,Current,,,,,,Surface Take,,1320903.5,5025589,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
RM17.301.24,,,,,,,,,,Current,,,,,,Surface Take,,1320350,5029091,,,10/02/2021,10/01/2056,12/03/2021,Yes,,
