,datetime,lake,total_rch,dryland_rch,irr_rch,hill_maungawera,hill_flat_west,hill_flat_east,hill_terrace_east,hill_south_east,hill_total
49,2001-12-12 00:00:00,339.95996,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
50,2001-12-19 00:00:00,340.20438,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
51,2001-12-26 00:00:00,340.4449,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
52,2002-01-02 00:00:00,340.67795,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
53,2002-01-09 00:00:00,340.90018,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
54,2002-01-16 00:00:00,341.10815,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
55,2002-01-23 00:00:00,341.29922,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
56,2002-01-30 00:00:00,341.4702,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
57,2002-02-06 00:00:00,341.61887,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
58,2002-02-13 00:00:00,341.7429,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
59,2002-02-20 00:00:00,341.8406,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
60,2002-02-27 00:00:00,341.91043,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
61,2002-03-06 00:00:00,341.95145,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
62,2002-03-13 00:00:00,341.9631,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
63,2002-03-20 00:00:00,341.94504,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
64,2002-03-27 00:00:00,341.89767,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
65,2002-04-03 00:00:00,341.82178,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
66,2002-04-10 00:00:00,341.71823,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
67,2002-04-17 00:00:00,341.58865,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
68,2002-04-24 00:00:00,341.43503,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
69,2002-05-01 00:00:00,341.25937,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
70,2002-05-08 00:00:00,341.06445,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
71,2002-05-15 00:00:00,340.85306,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
72,2002-05-22 00:00:00,340.62827,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
73,2002-05-29 00:00:00,340.3933,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
74,2002-06-05 00:00:00,340.15164,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
75,2002-06-12 00:00:00,339.90677,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
76,2002-06-19 00:00:00,339.66232,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
77,2002-06-26 00:00:00,339.42184,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
78,2002-07-03 00:00:00,339.1888,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
79,2002-07-10 00:00:00,338.96655,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
