permit_id,water_meter_no,date,total_allo,total_usage
2003.761,1229,2021-01-30,60.0,812.743137254155
2003.761,1229,2021-01-31,60.0,1065.39999999925
2003.761,1229,2021-02-01,60.0,2391.51764705882
2003.761,1229,2021-02-02,60.0,1826.4
2003.761,1229,2021-02-03,60.0,2317.2
2003.761,1229,2021-02-04,60.0,2231.0
2003.761,1229,2021-02-05,60.0,2319.2
2003.761,1229,2021-02-06,60.0,2568.6
2003.761,1229,2021-02-08,60.0,2051.03505154639
2003.761,1229,2021-02-09,60.0,2347.8
2003.761,1229,2021-02-10,60.0,1744.0
2003.761,1229,2021-02-11,60.0,1662.4
2003.761,1229,2021-02-12,60.0,1574.8
2003.761,1229,2021-02-13,60.0,1298.2
2003.761,1229,2021-02-14,60.0,1559.0
2003.761,1229,2021-02-15,60.0,2125.6
2003.761,1229,2021-02-16,60.0,1983.4
2003.761,1229,2021-02-17,60.0,1414.0
2003.761,1229,2021-02-18,60.0,1585.4
2003.761,1229,2021-02-19,60.0,2380.0
2003.761,1229,2021-02-20,60.0,3048.8
2003.761,1229,2021-02-21,60.0,2308.4
2003.761,1229,2021-02-22,60.0,3421.4
2003.761,1229,2021-02-23,60.0,3014.8
2003.761,1229,2021-02-24,60.0,2488.2
2003.761,1229,2021-02-25,60.0,2513.2
2003.761,1229,2021-02-26,60.0,1779.8
2003.761,1229,2021-02-27,60.0,2408.0
2003.761,1229,2021-02-28,60.0,2868.8
2003.761,1229,2021-03-01,60.0,2338.2
2003.761,1229,2021-03-02,60.0,1791.8
2003.761,1229,2021-03-03,60.0,2755.0
2003.761,1229,2021-03-04,60.0,2433.4
2003.761,1229,2021-03-05,60.0,2363.4
2003.761,1229,2021-03-06,60.0,1481.6
2003.761,1229,2021-03-07,60.0,1575.6
2003.761,1229,2021-03-08,60.0,1550.2
2003.761,1229,2021-03-09,60.0,1314.4
2003.761,1229,2021-03-10,60.0,1288.2
2003.761,1229,2021-03-11,60.0,1372.8
2003.761,1229,2021-03-12,60.0,1271.4
2003.761,1229,2021-03-13,60.0,1254.0
2003.761,1229,2021-03-14,60.0,1567.4
2003.761,1229,2021-03-15,60.0,1708.4
2003.761,1229,2021-03-16,60.0,1664.2
2003.761,1229,2021-03-17,60.0,2397.4
2003.761,1229,2021-03-18,60.0,1946.0
2003.761,1229,2021-03-19,60.0,1513.8
2003.761,1229,2021-03-20,60.0,1782.0
2003.761,1229,2021-03-21,60.0,1384.0
2003.761,1229,2021-03-22,60.0,1504.8
2003.761,1229,2021-03-23,60.0,1531.0
2003.761,1229,2021-03-24,60.0,1416.0
2003.761,1229,2021-03-25,60.0,1691.2
2003.761,1229,2021-03-26,60.0,1932.6
2003.761,1229,2021-03-27,60.0,1664.8
2003.761,1229,2021-03-28,60.0,1693.8
2003.761,1229,2021-03-29,60.0,1911.4
2003.761,1229,2021-03-30,60.0,2399.2
2003.761,1229,2021-03-31,60.0,3009.4
2003.761,1229,2021-04-01,60.0,2380.8
2003.761,1229,2021-04-02,60.0,2065.6
2003.761,1229,2021-04-03,60.0,1778.8
2003.761,1229,2021-04-04,60.0,1836.8
2003.761,1229,2021-04-05,60.0,1503.8
2003.761,1229,2021-04-06,60.0,2086.0
2003.761,1229,2021-04-07,60.0,2540.0
2003.761,1229,2021-04-08,60.0,2250.0
2003.761,1229,2021-04-09,60.0,1797.0
2003.761,1229,2021-04-10,60.0,1254.0
2003.761,1229,2021-04-11,60.0,1693.0
2003.761,1229,2021-04-12,60.0,2134.0
2003.761,1229,2021-04-13,60.0,1809.0
2003.761,1229,2021-04-14,60.0,1218.0
2003.761,1229,2021-04-15,60.0,1334.0
2003.761,1229,2021-04-16,60.0,970.0
2003.761,1229,2021-04-17,60.0,750.0
2003.761,1229,2021-04-18,60.0,1031.0
2003.761,1229,2021-04-19,60.0,817.0
2003.761,1229,2021-04-20,60.0,1147.0
2003.761,1229,2021-04-21,60.0,1248.0
2003.761,1229,2021-04-22,60.0,1294.0
2003.761,1229,2021-04-23,60.0,965.03
2003.761,1229,2021-04-24,60.0,1579.0
2003.761,1229,2021-04-25,60.0,1242.0
2003.761,1229,2021-04-26,60.0,1152.0
2003.761,1229,2021-04-27,60.0,1280.0
2003.761,1229,2021-04-28,60.0,1281.0
2003.761,1229,2021-04-29,60.0,1178.0
2003.761,1229,2021-04-30,60.0,1416.0
2003.761,1229,2021-05-01,60.0,1397.0
2003.761,1229,2021-05-02,60.0,1195.0
2003.761,1229,2021-05-03,60.0,1696.0
2003.761,1229,2021-05-04,60.0,1083.0
2003.761,1229,2021-05-05,60.0,1110.0
2003.761,1229,2021-05-06,60.0,1089.0
2003.761,1229,2021-05-07,60.0,958.0
2003.761,1229,2021-05-08,60.0,945.0
2003.761,1229,2021-05-09,60.0,1052.0
2003.761,1229,2021-05-10,60.0,1078.0
2003.761,1229,2021-05-11,60.0,1084.0
2003.761,1229,2021-05-12,60.0,884.0
